725,684,700,794,696,603
769,724,742,836,744,634
752,715,725,811,735,612
683,655,659,731,674,557
888,842,844,944,874,702
667,633,644,734,635,548
730,693,705,798,703,594
741,705,715,811,717,598
727,693,703,788,709,588
1187,1123,1142,1120,1161,945
639,596,610,691,590,511
675,632,649,728,635,539
673,633,646,725,639,539
702,662,676,754,671,568
1252,1168,1193,1332,1194,987
635,580,600,675,570,501
667,613,633,706,609,523
632,586,603,670,586,497
669,626,642,711,628,539
1123,1031,1068,1192,1050,868
